metric,group,elasticity
exact_match,single,0.9319134070074272
exact_match,few,-0.0
exact_match,many,-0.0
exact_match,few+many,-0.0
edit_sim,single,1.0391887925412373
edit_sim,few,-0.0
edit_sim,many,-0.0
edit_sim,few+many,-0.0
jaccard_sim,single,-0.3665266686777923
jaccard_sim,few,0.3091995496024438
jaccard_sim,many,-0.0
jaccard_sim,few+many,0.11107091827230393
rouge_l,single,-0.6301543221761466
rouge_l,few,0.21200093168311576
rouge_l,many,-0.0
rouge_l,few+many,0.11581728202482355
bleu,single,0.8528531368381661
bleu,few,0.05300023292077894
bleu,many,-0.0
bleu,few+many,0.02895432050620589
bert_cosine,single,-1.035969080405034
bert_cosine,few,0.16343314695468503
bert_cosine,many,-0.0
bert_cosine,few+many,0.060361179220519576
