pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,9.019607843137257,9.607843137254903,16.470588235294116,15.098039215686274,10.0,31.37254901960784,510
P1,author,19810,many,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,author,19810,single,40.75,43.725,44.525,45.675,7.475,44.675,4000
P2,illustrator,369,few,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,single,26.158038147138964,27.247956403269757,26.70299727520436,27.247956403269757,3.8147138964577656,26.975476839237057,367
P3,coverArtist,294,single,8.503401360544217,9.523809523809524,8.503401360544217,9.183673469387756,1.3605442176870748,9.523809523809524,294
P4,translator,184,few,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,single,5.9880239520958085,5.9880239520958085,7.18562874251497,6.58682634730539,0.0,6.58682634730539,167
P8,publisher,41,single,4.878048780487805,4.878048780487805,4.878048780487805,4.878048780487805,0.0,4.878048780487805,41
