metric,group,elasticity
exact_match,single,2.809669565831367
exact_match,few,0.376866825875939
exact_match,many,-0.0
exact_match,few+many,0.181468121616473
edit_sim,single,2.733863484304036
edit_sim,few,0.4059489397248171
edit_sim,many,-0.0
edit_sim,few+many,0.1955041500703506
jaccard_sim,single,3.1697494127407193
jaccard_sim,few,0.699998584112608
jaccard_sim,many,2.0881613436168966
jaccard_sim,few+many,1.415289433248495
rouge_l,single,2.972135499899493
rouge_l,few,0.5837011452699012
rouge_l,many,-0.0
rouge_l,few+many,0.2796254775220073
bleu,single,0.0807766172061465
bleu,few,0.4297271734861491
bleu,many,-0.0
bleu,few+many,0.2067238362648829
bert_cosine,single,2.86632035218428
bert_cosine,few,0.9729889936083026
bert_cosine,many,2.0881613436168966
bert_cosine,few+many,1.5535221572750824
