metric,group,elasticity
exact_match,single,4.432898056899348
exact_match,few,0.7719370075918304
exact_match,many,
exact_match,few+many,0.3859685037959151
edit_sim,single,4.975313874451627
edit_sim,few,1.0614133854387668
edit_sim,many,
edit_sim,few+many,0.5307066927193832
jaccard_sim,single,4.610655165155087
jaccard_sim,few,2.026334644928555
jaccard_sim,many,
jaccard_sim,few+many,1.0131673224642768
rouge_l,single,5.105318563446528
rouge_l,few,1.8333503930305972
rouge_l,many,
rouge_l,few+many,0.9166751965152984
bleu,single,0.8544907705246365
bleu,few,0.964921259489788
bleu,many,
bleu,few+many,0.4824606297448936
bert_cosine,single,5.0532900014626305
bert_cosine,few,2.8947637784693643
bert_cosine,many,
bert_cosine,few+many,1.4473818892346817
