metric,group,elasticity
exact_match,single,2.982100029761806
exact_match,few,0.3859685037959152
exact_match,many,
exact_match,few+many,0.1929842518979575
edit_sim,single,3.264239605464907
edit_sim,few,0.6754448816428517
edit_sim,many,
edit_sim,few+many,0.3377224408214258
jaccard_sim,single,3.2635509791949406
jaccard_sim,few,2.3158110227754913
jaccard_sim,many,
jaccard_sim,few+many,1.1579055113877454
rouge_l,single,3.4203252914166025
rouge_l,few,1.0614133854387668
rouge_l,many,
rouge_l,few+many,0.5307066927193832
bleu,single,0.6932689443393957
bleu,few,0.3859685037959152
bleu,many,
bleu,few+many,0.1929842518979575
bert_cosine,single,3.4619481410037203
bert_cosine,few,2.2193188968265125
bert_cosine,many,
bert_cosine,few+many,1.109659448413256
