pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,2.156862745098039,2.3529411764705883,5.686274509803922,5.88235294117647,2.7450980392156863,10.784313725490197,510
P1,author,19810,many,0.0,0.0,0.0,0.0,0.0,0.0,3
P1,author,19810,single,25.65,27.450000000000003,27.9,28.65,4.775,28.199999999999996,4000
P2,illustrator,369,few,0.0,0.0,0.0,0.0,0.0,0.0,1
P2,illustrator,369,single,16.076294277929154,17.166212534059948,16.893732970027248,17.166212534059948,2.997275204359673,17.43869209809264,367
P3,coverArtist,294,single,4.081632653061225,4.421768707482993,4.421768707482993,4.081632653061225,0.6802721088435374,4.421768707482993,294
P4,translator,184,few,0.0,0.0,0.0,0.0,0.0,0.0,7
P4,translator,184,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P4,translator,184,single,1.7964071856287425,1.7964071856287425,2.3952095808383236,2.3952095808383236,0.0,1.7964071856287425,167
P8,publisher,41,single,4.878048780487805,4.878048780487805,4.878048780487805,4.878048780487805,0.0,4.878048780487805,41
