metric,group,elasticity
exact_match,single,-0.7256423835054839
exact_match,few,0.14133395445541055
exact_match,many,-0.0
exact_match,few+many,0.07721152134988232
edit_sim,single,-0.4083770372402253
edit_sim,few,0.19433418737618943
edit_sim,many,-0.0
edit_sim,few+many,0.10616584185608822
jaccard_sim,single,1.326755104870922
jaccard_sim,few,1.8153052638835288
jaccard_sim,many,-0.0
jaccard_sim,few+many,0.9049415503167058
rouge_l,single,0.651905140159629
rouge_l,few,1.1881043167564111
rouge_l,many,-0.0
rouge_l,few+many,0.6201447090071666
bleu,single,0.9140813538957571
bleu,few,0.622768498934769
bleu,many,-0.0
bleu,few+many,0.31129862360763716
bert_cosine,single,-0.23664885297140567
bert_cosine,few,1.1218697877210544
bert_cosine,many,-0.0
bert_cosine,few+many,0.5550371660341274
