predicate,freq,Cardinality Class,PR_quartile,n_ow,OW accuracy,OW hallucination,OW unsure,n_sw,SW accuracy,SW hallucination,SW unsure,n_total,Total accuracy,Total hallucination,Total unsure
author,4612,few,Q4,214,0.0,73.36,26.64,200,0.5,84.0,15.5,414,0.24,78.5,21.26
author,4612,few,Q3,214,0.0,71.96,28.04,200,0.0,86.0,14.0,414,0.0,78.74,21.26
author,4612,few,Q2,214,0.0,76.64,23.36,200,0.5,88.5,11.0,414,0.24,82.37,17.39
author,4612,few,Q1,214,0.93,88.79,10.28,198,1.52,91.41,7.07,412,1.21,90.05,8.74
author,4612,many,Q4,3,0.0,100.0,0.0,1,0.0,100.0,0.0,4,0.0,100.0,0.0
author,4612,many,Q3,3,0.0,100.0,0.0,1,0.0,100.0,0.0,4,0.0,100.0,0.0
author,4612,many,Q2,3,0.0,100.0,0.0,1,0.0,100.0,0.0,4,0.0,100.0,0.0
author,4612,many,Q1,0,0.0,0.0,0.0,1,0.0,100.0,0.0,1,0.0,100.0,0.0
author,4612,single,Q4,472,0.0,94.07,5.93,616,1.95,91.56,6.49,1088,1.1,92.65,6.25
author,4612,single,Q3,472,0.0,96.61,3.39,616,2.11,88.47,9.42,1088,1.19,92.0,6.8
author,4612,single,Q2,472,0.64,92.37,6.99,616,2.11,90.26,7.63,1088,1.47,91.18,7.35
author,4612,single,Q1,471,1.91,93.21,4.88,614,4.4,86.97,8.63,1085,3.32,89.68,7.0
composer,2771,few,Q4,105,0.0,93.33,6.67,66,0.0,83.33,16.67,171,0.0,89.47,10.53
composer,2771,few,Q3,105,0.0,94.29,5.71,66,0.0,90.91,9.09,171,0.0,92.98,7.02
composer,2771,few,Q2,105,0.0,93.33,6.67,66,0.0,84.85,15.15,171,0.0,90.06,9.94
composer,2771,few,Q1,103,0.97,92.23,6.8,65,0.0,90.77,9.23,168,0.6,91.67,7.74
composer,2771,many,Q4,1,0.0,100.0,0.0,1,0.0,100.0,0.0,2,0.0,100.0,0.0
composer,2771,many,Q3,0,0.0,0.0,0.0,1,0.0,100.0,0.0,1,0.0,100.0,0.0
composer,2771,single,Q4,155,0.65,97.42,1.94,538,0.56,92.57,6.88,693,0.58,93.65,5.77
composer,2771,single,Q3,155,0.65,96.13,3.23,538,0.19,91.26,8.55,693,0.29,92.35,7.36
composer,2771,single,Q2,155,0.0,96.77,3.23,538,1.3,93.87,4.83,693,1.01,94.52,4.47
composer,2771,single,Q1,153,3.92,94.12,1.96,536,1.31,92.35,6.34,689,1.89,92.74,5.37
creativeDirector,192,few,Q4,4,0.0,75.0,25.0,3,0.0,100.0,0.0,7,0.0,85.71,14.29
creativeDirector,192,few,Q3,4,0.0,100.0,0.0,3,0.0,66.67,33.33,7,0.0,85.71,14.29
creativeDirector,192,few,Q2,4,0.0,75.0,25.0,3,0.0,100.0,0.0,7,0.0,85.71,14.29
creativeDirector,192,few,Q1,4,0.0,50.0,50.0,0,0.0,0.0,0.0,4,0.0,50.0,50.0
creativeDirector,192,many,Q4,1,0.0,100.0,0.0,1,0.0,100.0,0.0,2,0.0,100.0,0.0
creativeDirector,192,single,Q4,13,7.69,92.31,0.0,43,2.33,90.7,6.98,56,3.57,91.07,5.36
creativeDirector,192,single,Q3,13,0.0,100.0,0.0,43,0.0,93.02,6.98,56,0.0,94.64,5.36
creativeDirector,192,single,Q2,13,7.69,92.31,0.0,43,2.33,88.37,9.3,56,3.57,89.29,7.14
creativeDirector,192,single,Q1,13,0.0,100.0,0.0,40,0.0,97.5,2.5,53,0.0,98.11,1.89
creator,6755,few,Q4,272,0.0,96.32,3.68,272,0.74,91.18,8.09,544,0.37,93.75,5.88
creator,6755,few,Q3,272,0.37,96.32,3.31,272,1.1,89.71,9.19,544,0.74,93.01,6.25
creator,6755,few,Q2,272,0.0,97.06,2.94,272,4.04,91.91,4.04,544,2.02,94.49,3.49
creator,6755,few,Q1,272,1.1,98.16,0.74,270,5.56,90.74,3.7,542,3.32,94.46,2.21
creator,6755,many,Q4,1,0.0,100.0,0.0,2,50.0,50.0,0.0,3,33.33,66.67,0.0
creator,6755,many,Q3,1,0.0,100.0,0.0,2,0.0,100.0,0.0,3,0.0,100.0,0.0
creator,6755,many,Q2,1,0.0,100.0,0.0,2,50.0,50.0,0.0,3,33.33,66.67,0.0
creator,6755,many,Q1,1,0.0,100.0,0.0,0,0.0,0.0,0.0,1,0.0,100.0,0.0
creator,6755,single,Q4,567,0.53,97.71,1.76,1000,2.9,89.6,7.5,1567,2.04,92.53,5.42
creator,6755,single,Q3,567,0.88,98.24,0.88,1000,3.4,87.4,9.2,1567,2.49,91.32,6.19
creator,6755,single,Q2,567,1.59,97.53,0.88,1000,5.5,85.8,8.7,1567,4.08,90.04,5.87
creator,6755,single,Q1,564,5.14,94.68,0.18,1000,10.9,84.1,5.0,1564,8.82,87.92,3.26
director,8321,few,Q4,355,0.0,84.51,15.49,281,0.0,89.68,10.32,636,0.0,86.79,13.21
director,8321,few,Q3,355,0.0,86.2,13.8,281,0.36,89.32,10.32,636,0.16,87.58,12.26
director,8321,few,Q2,355,0.0,87.89,12.11,281,0.0,93.24,6.76,636,0.0,90.25,9.75
director,8321,few,Q1,354,0.28,91.81,7.91,278,0.36,93.17,6.47,632,0.32,92.41,7.28
director,8321,many,Q4,2,0.0,50.0,50.0,2,0.0,100.0,0.0,4,0.0,75.0,25.0
director,8321,many,Q3,2,0.0,100.0,0.0,2,0.0,100.0,0.0,4,0.0,100.0,0.0
director,8321,many,Q2,1,0.0,100.0,0.0,1,0.0,100.0,0.0,2,0.0,100.0,0.0
director,8321,single,Q4,406,0.0,96.55,3.45,1000,1.1,90.7,8.2,1406,0.78,92.39,6.83
director,8321,single,Q3,406,0.25,97.04,2.71,1000,0.8,92.1,7.1,1406,0.64,93.53,5.83
director,8321,single,Q2,406,0.49,96.55,2.96,1000,1.0,91.7,7.3,1406,0.85,93.1,6.05
director,8321,single,Q1,405,2.22,96.54,1.23,1000,1.0,92.9,6.1,1405,1.35,93.95,4.7
executiveProducer,7193,few,Q4,302,0.0,94.37,5.63,411,0.24,91.97,7.79,713,0.14,92.99,6.87
executiveProducer,7193,few,Q3,302,0.0,97.02,2.98,411,0.24,94.4,5.35,713,0.14,95.51,4.35
executiveProducer,7193,few,Q2,302,0.0,97.02,2.98,411,1.22,94.16,4.62,713,0.7,95.37,3.93
executiveProducer,7193,few,Q1,301,0.66,97.67,1.66,411,1.7,95.13,3.16,712,1.26,96.21,2.53
executiveProducer,7193,many,Q4,1,0.0,100.0,0.0,4,0.0,100.0,0.0,5,0.0,100.0,0.0
executiveProducer,7193,many,Q3,1,0.0,100.0,0.0,4,0.0,100.0,0.0,5,0.0,100.0,0.0
executiveProducer,7193,many,Q2,1,0.0,100.0,0.0,4,0.0,100.0,0.0,5,0.0,100.0,0.0
executiveProducer,7193,many,Q1,0,0.0,0.0,0.0,2,0.0,100.0,0.0,2,0.0,100.0,0.0
executiveProducer,7193,single,Q4,404,0.25,98.51,1.24,715,1.68,92.87,5.45,1119,1.16,94.91,3.93
executiveProducer,7193,single,Q3,404,1.24,98.02,0.74,715,2.66,92.31,5.03,1119,2.14,94.37,3.49
executiveProducer,7193,single,Q2,404,2.23,97.77,0.0,715,2.52,93.01,4.48,1119,2.41,94.73,2.86
executiveProducer,7193,single,Q1,404,4.46,95.3,0.25,714,4.48,90.76,4.76,1118,4.47,92.4,3.13
narrator,1897,few,Q4,64,0.0,98.44,1.56,56,0.0,98.21,1.79,120,0.0,98.33,1.67
narrator,1897,few,Q3,64,0.0,98.44,1.56,56,0.0,94.64,5.36,120,0.0,96.67,3.33
narrator,1897,few,Q2,64,0.0,98.44,1.56,56,0.0,91.07,8.93,120,0.0,95.0,5.0
narrator,1897,few,Q1,62,0.0,96.77,3.23,53,0.0,98.11,1.89,115,0.0,97.39,2.61
narrator,1897,many,Q4,2,0.0,100.0,0.0,3,0.0,100.0,0.0,5,0.0,100.0,0.0
narrator,1897,many,Q3,2,0.0,50.0,50.0,3,0.0,100.0,0.0,5,0.0,80.0,20.0
narrator,1897,many,Q2,2,0.0,100.0,0.0,3,0.0,100.0,0.0,5,0.0,100.0,0.0
narrator,1897,many,Q1,2,0.0,100.0,0.0,2,0.0,100.0,0.0,4,0.0,100.0,0.0
narrator,1897,single,Q4,224,0.0,99.55,0.45,324,0.62,94.14,5.25,548,0.36,96.35,3.28
narrator,1897,single,Q3,224,0.89,99.11,0.0,324,3.7,92.59,3.7,548,2.55,95.26,2.19
narrator,1897,single,Q2,224,0.45,99.55,0.0,324,5.25,89.81,4.94,548,3.28,93.8,2.92
narrator,1897,single,Q1,221,2.26,97.29,0.45,323,5.57,87.62,6.81,544,4.23,91.54,4.23
presenter,6955,few,Q4,312,0.32,98.4,1.28,337,1.19,94.96,3.86,649,0.77,96.61,2.62
presenter,6955,few,Q3,312,0.64,97.76,1.6,337,0.3,89.61,10.09,649,0.46,93.53,6.01
presenter,6955,few,Q2,312,0.0,99.36,0.64,337,0.89,91.99,7.12,649,0.46,95.53,4.01
presenter,6955,few,Q1,310,1.29,98.06,0.65,335,0.9,92.54,6.57,645,1.09,95.19,3.72
presenter,6955,many,Q4,3,0.0,100.0,0.0,1,0.0,100.0,0.0,4,0.0,100.0,0.0
presenter,6955,many,Q3,3,0.0,100.0,0.0,1,0.0,100.0,0.0,4,0.0,100.0,0.0
presenter,6955,many,Q2,3,0.0,100.0,0.0,0,0.0,0.0,0.0,3,0.0,100.0,0.0
presenter,6955,single,Q4,695,1.44,98.42,0.14,735,10.2,88.98,0.82,1430,5.94,93.57,0.49
presenter,6955,single,Q3,695,2.3,97.12,0.58,735,9.93,88.16,1.9,1430,6.22,92.52,1.26
presenter,6955,single,Q2,695,2.73,96.98,0.29,735,12.52,84.9,2.59,1430,7.76,90.77,1.47
presenter,6955,single,Q1,695,4.03,95.83,0.14,733,21.28,77.22,1.5,1428,12.89,86.27,0.84
producer,4764,few,Q4,191,0.0,83.77,16.23,211,0.0,91.47,8.53,402,0.0,87.81,12.19
producer,4764,few,Q3,191,0.0,86.91,13.09,211,0.0,92.42,7.58,402,0.0,89.8,10.2
producer,4764,few,Q2,191,0.0,90.58,9.42,211,0.95,92.89,6.16,402,0.5,91.79,7.71
producer,4764,few,Q1,189,0.0,93.12,6.88,210,1.9,95.71,2.38,399,1.0,94.49,4.51
