pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,author,19810,few,0.297113752122241,0.6366723259762309,6.069609507640068,3.862478777589134,1.825127334465195,4.117147707979626,2356
P1,author,19810,many,0.0,0.0,0.0,0.0,0.0,0.0,14
P1,author,19810,single,18.341924398625427,19.587628865979383,25.171821305841924,23.797250859106526,15.034364261168385,21.649484536082475,2328
P2,illustrator,369,few,0.0,0.0,3.278688524590164,0.0,0.0,3.278688524590164,61
P2,illustrator,369,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P2,illustrator,369,single,20.238095238095237,20.238095238095237,26.190476190476193,25.0,19.047619047619047,22.61904761904762,84
P3,coverArtist,294,few,0.0,0.0,0.0,0.0,0.0,0.0,41
P3,coverArtist,294,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P3,coverArtist,294,single,7.84313725490196,7.84313725490196,11.76470588235294,7.84313725490196,3.92156862745098,7.84313725490196,51
P4,translator,184,few,0.0,0.0,0.0,0.0,0.0,0.0,26
P4,translator,184,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,translator,184,single,1.639344262295082,1.639344262295082,1.639344262295082,1.639344262295082,1.639344262295082,3.278688524590164,61
P8,publisher,41,few,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,publisher,41,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P8,publisher,41,single,15.384615384615383,15.384615384615383,15.384615384615383,15.384615384615383,7.6923076923076925,15.384615384615383,13
