metric,group,elasticity
exact_match,single,0.3363517734777987
exact_match,few,-0.1314583105163499
exact_match,many,-0.0
exact_match,few+many,-0.0444049841981624
edit_sim,single,0.3713473793247349
edit_sim,few,-0.1314583105163499
edit_sim,many,-0.0
edit_sim,few+many,-0.0444049841981624
jaccard_sim,single,0.1729762939345888
jaccard_sim,few,-0.1949685966455215
jaccard_sim,many,-0.0
jaccard_sim,few+many,-0.0516004098400728
rouge_l,single,0.2202037051264316
rouge_l,few,-0.1137807924237997
rouge_l,many,-0.0
rouge_l,few+many,-0.029229664482856
bleu,single,0.026577394564301
bleu,few,-0.0626832093950588
bleu,many,-0.0
bleu,few+many,-0.017127344609949
bert_cosine,single,0.2949220260633883
bert_cosine,few,-0.5945919789410834
bert_cosine,many,-0.5552804744642188
bert_cosine,few+many,-0.5470845210483465
