metric,group,elasticity
exact_match,single,0.2256867744797312
exact_match,few,-0.1285345417128058
exact_match,many,-0.0
exact_match,few+many,-0.0434364435500189
edit_sim,single,0.2569017740949449
edit_sim,few,-0.1150641707158297
edit_sim,many,-0.0
edit_sim,few+many,-0.0379036891723102
jaccard_sim,single,-0.1197359645073969
jaccard_sim,few,-0.8049314131003672
jaccard_sim,many,-0.2776402372321094
jaccard_sim,few+many,-0.4370278228021934
rouge_l,single,-0.1709982784632847
rouge_l,few,-0.2998577798580247
rouge_l,many,-0.0
rouge_l,few+many,-0.0918825696661895
bleu,single,0.0326888453182714
bleu,few,-0.2186609049654974
bleu,many,-0.0
bleu,few+many,-0.0716680894219211
bert_cosine,single,0.029315544644964
bert_cosine,few,-1.0845962306833103
bert_cosine,many,-0.2776402372321094
bert_cosine,few+many,-0.535418956322448
